Date,Brand,SKU,Recommended Price
01/02/2015,BROOKLYN PILSNER,6 Pk 12 Oz Glass,13.99
01/02/2015,BROOKLYN OKTOBERFEST,6 Pk 12 Oz Glass,13.99
01/02/2015,BLUE POINT TOASTED,6 Pk 12 Oz Glass,12.99
01/02/2015,MAGIC HAT,6 Pk 12 Oz Glass,12.99
01/02/2015,BROOKLYN INDIA PALE,6 Pk 12 Oz Glass,10.49
08/02/2015,CORONA EXTRA,6 Pk 12 Oz Glass,12.99
08/02/2015,CORONA LIGHT,6 Pk 12 Oz Glass,12.99
08/02/2015,STELLA ARTOIS,6 Pk 11.2 Oz Glass,13.49
08/02/2015,LEFFE BLONDE,6 Pk 11.2 Oz Glass,13.49
08/02/2015,BECKS,6 Pk 12 Oz Glass,11.99
08/02/2015,HOEGAARDEN,6 Pk 11.2 Oz Glass,13.49
08/02/2015,MILLER LITE,6 Pk 12 Oz Glass,10.99
08/02/2015,BUD LIGHT,6 Pk 12 Oz Glass,10.49
08/02/2015,BUD LIGHT PLATINUM,6 Pk 12 Oz Glass,10.99
08/02/2015,BUDWEISER,6 Pk 12 Oz Glass,10.49
08/02/2015,COORS LIGHT,6 Pk 12 Oz Glass,10.99
08/02/2015,MILLER LITE,12 Pk 12 Oz Glass,14.99
08/02/2015,MILLER LITE,12 Pk 12 Oz Can,14.99
08/02/2015,SIERRA NEVADA PALE ALE,6 Pk 12 Oz Glass,13.49
08/02/2015,SIERRA NEVADA TORPEDO,6 Pk 12 Oz Glass,13.49
08/02/2015,BROOKLYN PILSNER,6 Pk 12 Oz Glass,12.49
08/02/2015,BROOKLYN OKTOBERFEST,6 Pk 12 Oz Glass,13.99
08/02/2015,BLUE POINT TOASTED,6 Pk 12 Oz Glass,12.99
08/02/2015,MAGIC HAT,6 Pk 12 Oz Glass,12.49
08/02/2015,BROOKLYN INDIA PALE,6 Pk 12 Oz Glass,11.99
15/02/2015,CORONA EXTRA,6 Pk 12 Oz Glass,12.49
15/02/2015,CORONA LIGHT,6 Pk 12 Oz Glass,12.99
15/02/2015,STELLA ARTOIS,6 Pk 11.2 Oz Glass,13.99
15/02/2015,LEFFE BLONDE,6 Pk 11.2 Oz Glass,13.49
15/02/2015,BECKS,6 Pk 12 Oz Glass,11.49
15/02/2015,HOEGAARDEN,6 Pk 11.2 Oz Glass,13.49
15/02/2015,MILLER LITE,6 Pk 12 Oz Glass,10.99
15/02/2015,BUD LIGHT,6 Pk 12 Oz Glass,10.49
15/02/2015,BUD LIGHT PLATINUM,6 Pk 12 Oz Glass,10.99
15/02/2015,BUDWEISER,6 Pk 12 Oz Glass,10.49
15/02/2015,COORS LIGHT,6 Pk 12 Oz Glass,10.99
15/02/2015,MILLER LITE,12 Pk 12 Oz Glass,14.99
15/02/2015,MILLER LITE,12 Pk 12 Oz Can,14.49
15/02/2015,SIERRA NEVADA PALE ALE,6 Pk 12 Oz Glass,13.99
15/02/2015,SIERRA NEVADA TORPEDO,6 Pk 12 Oz Glass,13.49
15/02/2015,BROOKLYN PILSNER,6 Pk 12 Oz Glass,12.49
15/02/2015,BROOKLYN OKTOBERFEST,6 Pk 12 Oz Glass,13.49
15/02/2015,BLUE POINT TOASTED,6 Pk 12 Oz Glass,12.49
15/02/2015,MAGIC HAT,6 Pk 12 Oz Glass,12.49
15/02/2015,BROOKLYN INDIA PALE,6 Pk 12 Oz Glass,11.99
22/02/2015,CORONA EXTRA,6 Pk 12 Oz Glass,12.99
22/02/2015,CORONA LIGHT,6 Pk 12 Oz Glass,12.99
22/02/2015,STELLA ARTOIS,6 Pk 11.2 Oz Glass,13.49
22/02/2015,LEFFE BLONDE,6 Pk 11.2 Oz Glass,13.99
22/02/2015,BECKS,6 Pk 12 Oz Glass,10.49
22/02/2015,HOEGAARDEN,6 Pk 11.2 Oz Glass,13.49
22/02/2015,MILLER LITE,6 Pk 12 Oz Glass,10.99
22/02/2015,BUD LIGHT,6 Pk 12 Oz Glass,10.49
22/02/2015,BUD LIGHT PLATINUM,6 Pk 12 Oz Glass,11.49
22/02/2015,BUDWEISER,6 Pk 12 Oz Glass,10.49
22/02/2015,COORS LIGHT,6 Pk 12 Oz Glass,10.99
22/02/2015,MILLER LITE,12 Pk 12 Oz Glass,14.99
22/02/2015,MILLER LITE,12 Pk 12 Oz Can,14.49
22/02/2015,SIERRA NEVADA PALE ALE,6 Pk 12 Oz Glass,13.99
22/02/2015,SIERRA NEVADA TORPEDO,6 Pk 12 Oz Glass,13.49
22/02/2015,BROOKLYN PILSNER,6 Pk 12 Oz Glass,12.49
22/02/2015,BROOKLYN OKTOBERFEST,6 Pk 12 Oz Glass,13.49
22/02/2015,BLUE POINT TOASTED,6 Pk 12 Oz Glass,11.49
22/02/2015,MAGIC HAT,6 Pk 12 Oz Glass,12.49
22/02/2015,BROOKLYN INDIA PALE,6 Pk 12 Oz Glass,11.49
01/03/2015,CORONA EXTRA,6 Pk 12 Oz Glass,12.49
01/03/2015,CORONA LIGHT,6 Pk 12 Oz Glass,12.49
01/03/2015,STELLA ARTOIS,6 Pk 11.2 Oz Glass,13.99
01/03/2015,LEFFE BLONDE,6 Pk 11.2 Oz Glass,12.49
01/03/2015,BECKS,6 Pk 12 Oz Glass,11.99
01/03/2015,HOEGAARDEN,6 Pk 11.2 Oz Glass,13.99
01/03/2015,MILLER LITE,6 Pk 12 Oz Glass,10.49
01/03/2015,BUD LIGHT,6 Pk 12 Oz Glass,10.49
01/03/2015,BUD LIGHT PLATINUM,6 Pk 12 Oz Glass,11.99
01/03/2015,BUDWEISER,6 Pk 12 Oz Glass,10.49
01/03/2015,COORS LIGHT,6 Pk 12 Oz Glass,10.99
01/03/2015,MILLER LITE,12 Pk 12 Oz Glass,14.99
01/03/2015,MILLER LITE,12 Pk 12 Oz Can,14.99
01/03/2015,SIERRA NEVADA PALE ALE,6 Pk 12 Oz Glass,13.49
01/03/2015,SIERRA NEVADA TORPEDO,6 Pk 12 Oz Glass,13.49
01/03/2015,BROOKLYN PILSNER,6 Pk 12 Oz Glass,12.99
01/03/2015,BROOKLYN OKTOBERFEST,6 Pk 12 Oz Glass,12.49
01/03/2015,BLUE POINT TOASTED,6 Pk 12 Oz Glass,12.49
01/03/2015,MAGIC HAT,6 Pk 12 Oz Glass,12.99
01/03/2015,BROOKLYN INDIA PALE,6 Pk 12 Oz Glass,11.49
08/03/2015,CORONA EXTRA,6 Pk 12 Oz Glass,12.99
08/03/2015,CORONA LIGHT,6 Pk 12 Oz Glass,12.99
08/03/2015,STELLA ARTOIS,6 Pk 11.2 Oz Glass,13.49
08/03/2015,LEFFE BLONDE,6 Pk 11.2 Oz Glass,13.99
08/03/2015,BECKS,6 Pk 12 Oz Glass,11.99
08/03/2015,HOEGAARDEN,6 Pk 11.2 Oz Glass,13.99
08/03/2015,MILLER LITE,6 Pk 12 Oz Glass,10.99
08/03/2015,BUD LIGHT,6 Pk 12 Oz Glass,10.49
08/03/2015,BUD LIGHT PLATINUM,6 Pk 12 Oz Glass,10.99
08/03/2015,BUDWEISER,6 Pk 12 Oz Glass,10.99
08/03/2015,COORS LIGHT,6 Pk 12 Oz Glass,10.99
08/03/2015,MILLER LITE,12 Pk 12 Oz Glass,14.49
08/03/2015,MILLER LITE,12 Pk 12 Oz Can,14.99
08/03/2015,SIERRA NEVADA PALE ALE,6 Pk 12 Oz Glass,13.99
08/03/2015,SIERRA NEVADA TORPEDO,6 Pk 12 Oz Glass,13.49
08/03/2015,BROOKLYN PILSNER,6 Pk 12 Oz Glass,13.99
08/03/2015,BROOKLYN OKTOBERFEST,6 Pk 12 Oz Glass,13.49
08/03/2015,BLUE POINT TOASTED,6 Pk 12 Oz Glass,12.99
08/03/2015,MAGIC HAT,6 Pk 12 Oz Glass,11.49
08/03/2015,BROOKLYN INDIA PALE,6 Pk 12 Oz Glass,11.49
15/03/2015,CORONA EXTRA,6 Pk 12 Oz Glass,12.49
15/03/2015,CORONA LIGHT,6 Pk 12 Oz Glass,12.49
15/03/2015,STELLA ARTOIS,6 Pk 11.2 Oz Glass,13.49
15/03/2015,LEFFE BLONDE,6 Pk 11.2 Oz Glass,12.49
15/03/2015,BECKS,6 Pk 12 Oz Glass,11.49
15/03/2015,HOEGAARDEN,6 Pk 11.2 Oz Glass,12.99
15/03/2015,MILLER LITE,6 Pk 12 Oz Glass,10.99
15/03/2015,BUD LIGHT,6 Pk 12 Oz Glass,10.99
15/03/2015,BUD LIGHT PLATINUM,6 Pk 12 Oz Glass,10.99
15/03/2015,BUDWEISER,6 Pk 12 Oz Glass,10.49
15/03/2015,COORS LIGHT,6 Pk 12 Oz Glass,10.49
15/03/2015,MILLER LITE,12 Pk 12 Oz Glass,13.49
15/03/2015,MILLER LITE,12 Pk 12 Oz Can,13.99
15/03/2015,SIERRA NEVADA PALE ALE,6 Pk 12 Oz Glass,13.49
15/03/2015,SIERRA NEVADA TORPEDO,6 Pk 12 Oz Glass,13.99
15/03/2015,BROOKLYN PILSNER,6 Pk 12 Oz Glass,13.99
15/03/2015,BROOKLYN OKTOBERFEST,6 Pk 12 Oz Glass,13.99
15/03/2015,BLUE POINT TOASTED,6 Pk 12 Oz Glass,12.99
15/03/2015,MAGIC HAT,6 Pk 12 Oz Glass,12.99
15/03/2015,BROOKLYN INDIA PALE,6 Pk 12 Oz Glass,11.99
22/03/2015,CORONA EXTRA,6 Pk 12 Oz Glass,11.49
22/03/2015,CORONA LIGHT,6 Pk 12 Oz Glass,12.49
22/03/2015,STELLA ARTOIS,6 Pk 11.2 Oz Glass,13.99
22/03/2015,LEFFE BLONDE,6 Pk 11.2 Oz Glass,13.49
22/03/2015,BECKS,6 Pk 12 Oz Glass,11.49
22/03/2015,HOEGAARDEN,6 Pk 11.2 Oz Glass,13.49
22/03/2015,MILLER LITE,6 Pk 12 Oz Glass,10.49
22/03/2015,BUD LIGHT,6 Pk 12 Oz Glass,10.99
22/03/2015,BUD LIGHT PLATINUM,6 Pk 12 Oz Glass,11.99
22/03/2015,BUDWEISER,6 Pk 12 Oz Glass,10.49
22/03/2015,COORS LIGHT,6 Pk 12 Oz Glass,10.99
22/03/2015,MILLER LITE,12 Pk 12 Oz Glass,14.49
22/03/2015,MILLER LITE,12 Pk 12 Oz Can,14.49
22/03/2015,SIERRA NEVADA PALE ALE,6 Pk 12 Oz Glass,13.99
22/03/2015,SIERRA NEVADA TORPEDO,6 Pk 12 Oz Glass,13.49
22/03/2015,BROOKLYN PILSNER,6 Pk 12 Oz Glass,13.99
22/03/2015,BROOKLYN OKTOBERFEST,6 Pk 12 Oz Glass,13.99
22/03/2015,BLUE POINT TOASTED,6 Pk 12 Oz Glass,13.99
22/03/2015,MAGIC HAT,6 Pk 12 Oz Glass,12.99
22/03/2015,BROOKLYN INDIA PALE,6 Pk 12 Oz Glass,10.49
29/03/2015,CORONA EXTRA,6 Pk 12 Oz Glass,12.99
29/03/2015,CORONA LIGHT,6 Pk 12 Oz Glass,12.49
29/03/2015,STELLA ARTOIS,6 Pk 11.2 Oz Glass,13.49
29/03/2015,LEFFE BLONDE,6 Pk 11.2 Oz Glass,13.99
29/03/2015,BECKS,6 Pk 12 Oz Glass,10.49
29/03/2015,HOEGAARDEN,6 Pk 11.2 Oz Glass,13.99
29/03/2015,MILLER LITE,6 Pk 12 Oz Glass,10.49
29/03/2015,BUD LIGHT,6 Pk 12 Oz Glass,10.99
29/03/2015,BUD LIGHT PLATINUM,6 Pk 12 Oz Glass,11.99
29/03/2015,BUDWEISER,6 Pk 12 Oz Glass,10.49
29/03/2015,COORS LIGHT,6 Pk 12 Oz Glass,10.49
29/03/2015,MILLER LITE,12 Pk 12 Oz Glass,14.99
29/03/2015,MILLER LITE,12 Pk 12 Oz Can,14.99
29/03/2015,SIERRA NEVADA PALE ALE,6 Pk 12 Oz Glass,13.49
29/03/2015,SIERRA NEVADA TORPEDO,6 Pk 12 Oz Glass,13.49
29/03/2015,BROOKLYN PILSNER,6 Pk 12 Oz Glass,13.49
29/03/2015,BROOKLYN OKTOBERFEST,6 Pk 12 Oz Glass,13.99
29/03/2015,BLUE POINT TOASTED,6 Pk 12 Oz Glass,13.99
29/03/2015,MAGIC HAT,6 Pk 12 Oz Glass,12.49
29/03/2015,BROOKLYN INDIA PALE,6 Pk 12 Oz Glass,11.49
05/04/2015,CORONA EXTRA,6 Pk 12 Oz Glass,12.99
05/04/2015,CORONA LIGHT,6 Pk 12 Oz Glass,12.99
05/04/2015,STELLA ARTOIS,6 Pk 11.2 Oz Glass,12.99
05/04/2015,LEFFE BLONDE,6 Pk 11.2 Oz Glass,12.49
05/04/2015,BECKS,6 Pk 12 Oz Glass,11.99
05/04/2015,HOEGAARDEN,6 Pk 11.2 Oz Glass,13.99
05/04/2015,MILLER LITE,6 Pk 12 Oz Glass,10.49
05/04/2015,BUD LIGHT,6 Pk 12 Oz Glass,10.99
05/04/2015,BUD LIGHT PLATINUM,6 Pk 12 Oz Glass,11.99
05/04/2015,BUDWEISER,6 Pk 12 Oz Glass,10.49
05/04/2015,COORS LIGHT,6 Pk 12 Oz Glass,9.99
05/04/2015,MILLER LITE,12 Pk 12 Oz Glass,14.99
05/04/2015,MILLER LITE,12 Pk 12 Oz Can,13.49
05/04/2015,SIERRA NEVADA PALE ALE,6 Pk 12 Oz Glass,13.49
05/04/2015,SIERRA NEVADA TORPEDO,6 Pk 12 Oz Glass,12.99
05/04/2015,BROOKLYN PILSNER,6 Pk 12 Oz Glass,12.99
05/04/2015,BROOKLYN OKTOBERFEST,6 Pk 12 Oz Glass,12.99
05/04/2015,BLUE POINT TOASTED,6 Pk 12 Oz Glass,13.99
05/04/2015,MAGIC HAT,6 Pk 12 Oz Glass,12.49
05/04/2015,BROOKLYN INDIA PALE,6 Pk 12 Oz Glass,11.49
12/04/2015,CORONA EXTRA,6 Pk 12 Oz Glass,12.99
12/04/2015,CORONA LIGHT,6 Pk 12 Oz Glass,11.49
12/04/2015,STELLA ARTOIS,6 Pk 11.2 Oz Glass,13.49
12/04/2015,LEFFE BLONDE,6 Pk 11.2 Oz Glass,13.99
12/04/2015,BECKS,6 Pk 12 Oz Glass,11.99
12/04/2015,HOEGAARDEN,6 Pk 11.2 Oz Glass,13.99
12/04/2015,MILLER LITE,6 Pk 12 Oz Glass,10.99
12/04/2015,BUD LIGHT,6 Pk 12 Oz Glass,10.99
12/04/2015,BUD LIGHT PLATINUM,6 Pk 12 Oz Glass,11.49
12/04/2015,BUDWEISER,6 Pk 12 Oz Glass,10.99
12/04/2015,COORS LIGHT,6 Pk 12 Oz Glass,10.99
12/04/2015,MILLER LITE,12 Pk 12 Oz Glass,14.49
12/04/2015,MILLER LITE,12 Pk 12 Oz Can,14.99
12/04/2015,SIERRA NEVADA PALE ALE,6 Pk 12 Oz Glass,13.49
12/04/2015,SIERRA NEVADA TORPEDO,6 Pk 12 Oz Glass,11.99
12/04/2015,BROOKLYN PILSNER,6 Pk 12 Oz Glass,12.49
12/04/2015,BROOKLYN OKTOBERFEST,6 Pk 12 Oz Glass,13.99
12/04/2015,BLUE POINT TOASTED,6 Pk 12 Oz Glass,12.99
12/04/2015,MAGIC HAT,6 Pk 12 Oz Glass,11.49
12/04/2015,BROOKLYN INDIA PALE,6 Pk 12 Oz Glass,11.49
19/04/2015,CORONA EXTRA,6 Pk 12 Oz Glass,12.49
19/04/2015,CORONA LIGHT,6 Pk 12 Oz Glass,12.49
19/04/2015,STELLA ARTOIS,6 Pk 11.2 Oz Glass,13.99
19/04/2015,LEFFE BLONDE,6 Pk 11.2 Oz Glass,12.49
19/04/2015,BECKS,6 Pk 12 Oz Glass,11.49
19/04/2015,HOEGAARDEN,6 Pk 11.2 Oz Glass,13.49
19/04/2015,MILLER LITE,6 Pk 12 Oz Glass,10.49
19/04/2015,BUD LIGHT,6 Pk 12 Oz Glass,10.49
19/04/2015,BUD LIGHT PLATINUM,6 Pk 12 Oz Glass,11.49
19/04/2015,BUDWEISER,6 Pk 12 Oz Glass,9.99
19/04/2015,COORS LIGHT,6 Pk 12 Oz Glass,10.49
19/04/2015,MILLER LITE,12 Pk 12 Oz Glass,14.49
19/04/2015,MILLER LITE,12 Pk 12 Oz Can,14.49
19/04/2015,SIERRA NEVADA PALE ALE,6 Pk 12 Oz Glass,13.49
19/04/2015,SIERRA NEVADA TORPEDO,6 Pk 12 Oz Glass,13.99
19/04/2015,BROOKLYN PILSNER,6 Pk 12 Oz Glass,11.49
19/04/2015,BROOKLYN OKTOBERFEST,6 Pk 12 Oz Glass,13.99
19/04/2015,BLUE POINT TOASTED,6 Pk 12 Oz Glass,12.49
19/04/2015,MAGIC HAT,6 Pk 12 Oz Glass,12.49
19/04/2015,BROOKLYN INDIA PALE,6 Pk 12 Oz Glass,11.99
26/04/2015,CORONA EXTRA,6 Pk 12 Oz Glass,12.49
26/04/2015,CORONA LIGHT,6 Pk 12 Oz Glass,11.99
26/04/2015,STELLA ARTOIS,6 Pk 11.2 Oz Glass,12.49
26/04/2015,LEFFE BLONDE,6 Pk 11.2 Oz Glass,13.49
26/04/2015,BECKS,6 Pk 12 Oz Glass,11.99
26/04/2015,HOEGAARDEN,6 Pk 11.2 Oz Glass,13.49
26/04/2015,MILLER LITE,6 Pk 12 Oz Glass,9.49
26/04/2015,BUD LIGHT,6 Pk 12 Oz Glass,10.99
26/04/2015,BUD LIGHT PLATINUM,6 Pk 12 Oz Glass,10.49
26/04/2015,BUDWEISER,6 Pk 12 Oz Glass,10.99
26/04/2015,COORS LIGHT,6 Pk 12 Oz Glass,10.49
26/04/2015,MILLER LITE,12 Pk 12 Oz Glass,13.49
26/04/2015,MILLER LITE,12 Pk 12 Oz Can,14.99
26/04/2015,SIERRA NEVADA PALE ALE,6 Pk 12 Oz Glass,13.99
26/04/2015,SIERRA NEVADA TORPEDO,6 Pk 12 Oz Glass,13.99
26/04/2015,BROOKLYN PILSNER,6 Pk 12 Oz Glass,12.49
26/04/2015,BROOKLYN OKTOBERFEST,6 Pk 12 Oz Glass,13.99
26/04/2015,BLUE POINT TOASTED,6 Pk 12 Oz Glass,12.49
26/04/2015,MAGIC HAT,6 Pk 12 Oz Glass,12.99
26/04/2015,BROOKLYN INDIA PALE,6 Pk 12 Oz Glass,10.99
03/05/2015,CORONA EXTRA,6 Pk 12 Oz Glass,12.49
03/05/2015,CORONA LIGHT,6 Pk 12 Oz Glass,12.49
03/05/2015,STELLA ARTOIS,6 Pk 11.2 Oz Glass,13.99
03/05/2015,LEFFE BLONDE,6 Pk 11.2 Oz Glass,12.99
03/05/2015,BECKS,6 Pk 12 Oz Glass,11.99
03/05/2015,HOEGAARDEN,6 Pk 11.2 Oz Glass,11.49
03/05/2015,MILLER LITE,6 Pk 12 Oz Glass,10.49
03/05/2015,BUD LIGHT,6 Pk 12 Oz Glass,9.49
03/05/2015,BUD LIGHT PLATINUM,6 Pk 12 Oz Glass,11.99
03/05/2015,BUDWEISER,6 Pk 12 Oz Glass,10.49
03/05/2015,COORS LIGHT,6 Pk 12 Oz Glass,10.99
03/05/2015,MILLER LITE,12 Pk 12 Oz Glass,14.99
03/05/2015,MILLER LITE,12 Pk 12 Oz Can,14.49
03/05/2015,SIERRA NEVADA PALE ALE,6 Pk 12 Oz Glass,12.49
03/05/2015,SIERRA NEVADA TORPEDO,6 Pk 12 Oz Glass,13.99
03/05/2015,BROOKLYN PILSNER,6 Pk 12 Oz Glass,12.49
03/05/2015,BROOKLYN OKTOBERFEST,6 Pk 12 Oz Glass,13.99
03/05/2015,BLUE POINT TOASTED,6 Pk 12 Oz Glass,12.49
03/05/2015,MAGIC HAT,6 Pk 12 Oz Glass,12.99
03/05/2015,BROOKLYN INDIA PALE,6 Pk 12 Oz Glass,11.99
10/05/2015,CORONA EXTRA,6 Pk 12 Oz Glass,12.49
10/05/2015,CORONA LIGHT,6 Pk 12 Oz Glass,13.49
10/05/2015,STELLA ARTOIS,6 Pk 11.2 Oz Glass,13.49
10/05/2015,LEFFE BLONDE,6 Pk 11.2 Oz Glass,12.99
10/05/2015,BECKS,6 Pk 12 Oz Glass,11.99
10/05/2015,HOEGAARDEN,6 Pk 11.2 Oz Glass,12.99
10/05/2015,MILLER LITE,6 Pk 12 Oz Glass,10.99
10/05/2015,BUD LIGHT,6 Pk 12 Oz Glass,10.49
10/05/2015,BUD LIGHT PLATINUM,6 Pk 12 Oz Glass,11.49
10/05/2015,BUDWEISER,6 Pk 12 Oz Glass,10.49
10/05/2015,COORS LIGHT,6 Pk 12 Oz Glass,10.99
10/05/2015,MILLER LITE,12 Pk 12 Oz Glass,12.49
10/05/2015,MILLER LITE,12 Pk 12 Oz Can,14.99
